"A-B","A","B","A","B","A","B","Networks","Wrong","pNI","pInt"
"2902-1793","1793","2902","Gene Link","Gene Link","DOCK1","GRIN1","BioPlex_3_0","0","0.0001","0.9999"
"2902-81573","81573","2902","Gene Link","Gene Link","ANKRD13C","GRIN1","BioPlex_3_0","0","0.0001","0.9999"
"2902-1040","1040","2902","Gene Link","Gene Link","CDS1","GRIN1","BioPlex_3_0","0","0.0002","0.9998"
"2902-63916","63916","2902","Gene Link","Gene Link","ELMO2","GRIN1","BioPlex_3_0","0","0.0004","0.9996"
"2902-9844","9844","2902","Gene Link","Gene Link","ELMO1","GRIN1","BioPlex_3_0","0.0072","0.0007","0.9921"
"255239-2902","2902","255239","Gene Link","Gene Link","GRIN1","ANKK1","BioPlex_3_0","0","0.0045","0.9955"
"64919-2902","2902","64919","Gene Link","Gene Link","GRIN1","BCL11B","BioPlex_3_0","0","0.0104","0.9896"
"2902-80005","80005","2902","Gene Link","Gene Link","DOCK5","GRIN1","BioPlex_3_0","0.0057","0.0197","0.9746"
"54112-2902","2902","54112","Gene Link","Gene Link","GRIN1","GPR88","BioPlex_3_0","0","0.0294","0.9706"
"2902-493856","493856","2902","Gene Link","Gene Link","CISD2","GRIN1","BioPlex_3_0","0.003","0.0402","0.9568"
"2902-5796","5796","2902","Gene Link","Gene Link","PTPRK","GRIN1","BioPlex_3_0","0","0.0842","0.9158"
"2902-653519","653519","2902","Gene Link","Gene Link","GPR89A","GRIN1","BioPlex_3_0","0","0.1097","0.8903"
"2902-4854","4854","2902","Gene Link","Gene Link","NOTCH3","GRIN1","BioPlex_3_0","0","0.1763","0.8237"
"2902-26232","26232","2902","Gene Link","Gene Link","FBXO2","GRIN1","BioPlex_3_0","0","0.2228","0.7772"
"2902-79694","79694","2902","Gene Link","Gene Link","MANEA","GRIN1","BioPlex_3_0","0","0.2269","0.7731"
"2902-57650","57650","2902","Gene Link","Gene Link","CIP2A","GRIN1","BioPlex_3_0","0","0.2772","0.7228"
"2902-286410","286410","2902","Gene Link","Gene Link","ATP11C","GRIN1","BioPlex_3_0","0","0.3014","0.6986"
"2902-162427","162427","2902","Gene Link","Gene Link","RETREG3","GRIN1","BioPlex_3_0","0.0001","0.3575","0.6424"
"2902-56895","56895","2902","Gene Link","Gene Link","AGPAT4","GRIN1","BioPlex_3_0","0","0.3995","0.6005"
"2902-10682","10682","2902","Gene Link","Gene Link","EBP","GRIN1","BioPlex_3_0","0.0003","0.4398","0.5598"
"2902-128486","128486","2902","Gene Link","Gene Link","FITM2","GRIN1","BioPlex_3_0","0","0.4854","0.5145"
